buy_inst_num,date,rank_reason,sell_inst_num,stock_name,stock_symbol
0.00,2021-02-09,"连续三个交易日内,跌幅偏离值累计达20%的证券",318.32,恒丰纸业,600356
0.00,2021-02-08,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,82.92,唐德影视,300426
892.56,2021-03-17,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,687.25,易天股份,300812
589.12,2021-03-17,日涨幅偏离值达7%的证券,0.00,中水渔业,000798
575.13,2020-11-17,日涨幅偏离值达7%的证券,0.00,南京港,002040
0.00,2020-11-17,日跌幅偏离值达7%的证券,23916.90,王府井,600859
273.65,2020-12-30,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,169.93,*ST中南,002445
687.75,2020-12-30,日涨幅偏离值达7%的证券,241.44,西王食品,000639
0.00,2021-01-14,"连续三个交易日内,涨幅偏离值累计达20%的证券",5804.23,江山欧派,603208
4373.94,2021-01-14,有价格涨跌幅限制的日收盘价格跌幅达到-15%的证券,14029.36,宏达电子,300726
4772.04,2021-04-19,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,3976.33,奕瑞科技,688301
0.00,2021-04-19,无价格涨跌幅限制的证券,1192.36,达瑞电子,300976
0.00,2021-03-04,日换手率达20%的证券,200.34,必得科技,605298
22073.20,2021-03-03,日涨幅偏离值达7%的证券,5096.92,宁波银行,002142
85.16,2021-05-13,日振幅值达15%的证券,9.19,中设股份,002883
818.01,2021-05-13,有价格涨跌幅限制的日换手率达到30%的证券,92.64,药易购,300937
0.00,2021-05-06,"连续三个交易日内,跌幅偏离值累计达20%的证券",1133.00,东瑞股份,001201
