Stkcd	Trddt	Clsprc
000555	2022-01-26	14.660
000557	2022-01-25	4.260
000557	2022-01-26	4.570
000558	2022-01-25	3.630
000558	2022-01-26	3.670
000559	2022-01-25	5.720
000559	2022-01-26	5.680
000560	2022-01-25	2.980
000560	2022-01-26	3.030
000561	2022-01-25	7.060
000561	2022-01-26	7.110
000563	2022-01-25	3.160
000563	2022-01-26	3.190
000564	2022-01-25	1.330
000564	2022-01-26	1.340
000565	2022-01-25	5.750
000565	2022-01-26	5.890
000566	2022-01-25	4.550
000566	2022-01-26	4.560
000567	2022-01-25	16.370
000567	2022-01-26	16.700
000568	2022-01-25	226.990
000568	2022-01-26	228.030
000570	2022-01-25	5.100
000570	2022-01-26	5.170
000571	2022-01-25	2.440
000571	2022-01-26	2.380
000572	2022-01-25	5.140
000572	2022-01-26	5.150
000573	2022-01-25	3.760
000573	2022-01-26	3.380
000576	2022-01-25	10.680
000576	2022-01-26	11.000
000581	2022-01-25	21.000
000581	2022-01-26	21.710
000582	2022-01-25	7.380
000582	2022-01-26	7.430
000584	2022-01-25	5.320
000584	2022-01-26	5.400
000585	2022-01-25	1.800
000585	2022-01-26	1.800
000586	2022-01-25	8.020
000586	2022-01-26	8.170
000587	2022-01-25	1.600
000587	2022-01-26	1.640
000589	2022-01-25	5.370
000589	2022-01-26	5.400
000590	2022-01-25	8.880
000590	2022-01-26	8.830
000591	2022-01-25	9.270
000591	2022-01-26	9.350
000592	2022-01-25	2.810
000592	2022-01-26	2.820
000593	2022-01-25	5.730
000593	2022-01-26	5.750
000595	2022-01-25	2.880
000595	2022-01-26	2.920
000596	2022-01-25	211.530
000596	2022-01-26	225.870
000597	2022-01-25	5.700
000597	2022-01-26	5.720
000598	2022-01-25	5.750
000598	2022-01-26	5.720
000599	2022-01-25	3.910
000599	2022-01-26	3.970
000600	2022-01-25	4.440
000600	2022-01-26	4.440
000601	2022-01-25	4.570
000601	2022-01-26	4.610
000603	2022-01-25	12.560
000603	2022-01-26	12.710
000605	2022-01-25	5.200
000605	2022-01-26	5.380
000606	2022-01-25	1.880
000606	2022-01-26	1.920
000607	2022-01-25	4.860
000607	2022-01-26	4.980
000608	2022-01-25	3.490
000608	2022-01-26	3.840
000609	2022-01-25	4.530
000609	2022-01-26	4.580
000610	2022-01-25	9.430
000610	2022-01-26	8.880
000611	2022-01-25	3.090
000611	2022-01-26	3.240
000612	2022-01-25	6.650
000612	2022-01-26	6.810
000613	2022-01-25	3.770
000613	2022-01-26	3.870
000615	2022-01-25	8.290
000615	2022-01-26	8.490
000616	2022-01-25	1.870
000616	2022-01-26	1.880
000617	2022-01-25	5.000
000617	2022-01-26	5.100
000619	2022-01-25	5.280
000619	2022-01-26	5.410
000620	2022-01-25	4.380
000620	2022-01-26	3.940
000622	2022-01-25	4.280
000622	2022-01-26	4.160
000623	2022-01-25	16.610
000623	2022-01-26	16.820
000625	2022-01-25	13.060
000625	2022-01-26	13.200
000626	2022-01-25	20.940
000626	2022-01-26	20.680
000627	2022-01-25	3.180
000627	2022-01-26	3.210
000628	2022-01-25	9.320
000628	2022-01-26	9.530
000629	2022-01-25	3.760
000629	2022-01-26	3.740
000630	2022-01-25	3.400
000630	2022-01-26	3.610
000631	2022-01-25	3.510
000631	2022-01-26	3.510
000632	2022-01-25	3.510
000632	2022-01-26	3.590
000633	2022-01-25	5.450
000633	2022-01-26	5.610
000635	2022-01-25	10.240
000635	2022-01-26	9.220
000636	2022-01-25	27.570
000636	2022-01-26	26.550
000637	2022-01-25	4.280
000637	2022-01-26	4.410
000638	2022-01-25	4.830
000638	2022-01-26	4.940
000639	2022-01-25	4.590
000639	2022-01-26	4.610
000650	2022-01-25	7.610
000650	2022-01-26	7.570
000651	2022-01-25	38.890
000651	2022-01-26	39.160
000652	2022-01-25	4.100
000652	2022-01-26	4.110
000655	2022-01-25	7.730
000655	2022-01-26	7.870
000656	2022-01-25	5.230
000656	2022-01-26	5.240
000657	2022-01-25	14.130
000657	2022-01-26	14.220
000659	2022-01-25	3.520
000659	2022-01-26	3.600
000661	2022-01-25	164.110
000661	2022-01-26	168.170
000663	2022-01-25	7.500
000663	2022-01-26	7.450
000665	2022-01-25	9.180
000665	2022-01-26	8.380
000666	2022-01-25	8.150
000666	2022-01-26	8.260
000667	2022-01-25	1.690
000667	2022-01-26	1.740
000668	2022-01-25	14.030
000668	2022-01-26	14.070
000669	2022-01-25	2.270
000669	2022-01-26	2.300
000671	2022-01-25	2.910
000671	2022-01-26	2.950
000672	2022-01-25	20.540
000672	2022-01-26	20.870
000673	2022-01-25	1.990
000673	2022-01-26	2.010
000676	2022-01-25	6.930
000676	2022-01-26	6.950
000677	2022-01-25	3.850
000677	2022-01-26	3.540
000678	2022-01-25	5.080
000678	2022-01-26	4.890
000679	2022-01-25	3.970
000679	2022-01-26	4.040
000680	2022-01-25	3.830
000680	2022-01-26	3.880
000681	2022-01-25	20.360
000681	2022-01-26	19.960
000682	2022-01-25	7.620
000682	2022-01-26	7.730
000683	2022-01-25	8.710
000683	2022-01-26	8.820
000685	2022-01-25	8.250
000685	2022-01-26	8.240
000686	2022-01-25	8.560
000686	2022-01-26	8.630
000687	2022-01-25	1.490
000687	2022-01-26	1.420
000688	2022-01-25	13.100
000688	2022-01-26	13.250
000690	2022-01-25	5.150
000690	2022-01-26	5.230
000691	2022-01-25	4.540
000691	2022-01-26	4.630
000692	2022-01-25	3.870
000692	2022-01-26	4.260
000695	2022-01-25	9.280
000695	2022-01-26	9.160
000697	2022-01-25	7.660
000697	2022-01-26	7.640
000698	2022-01-25	5.320
000698	2022-01-26	5.370
000700	2022-01-25	4.600
000700	2022-01-26	4.610
000701	2022-01-25	5.940
000701	2022-01-26	5.850
000702	2022-01-25	4.560
000702	2022-01-26	4.670
000703	2022-01-25	10.150
000703	2022-01-26	10.150
000705	2022-01-25	7.830
000705	2022-01-26	7.710
000707	2022-01-25	7.940
000707	2022-01-26	8.050
000708	2022-01-25	22.620
000708	2022-01-26	22.750
000709	2022-01-25	2.370
000709	2022-01-26	2.400
000710	2022-01-25	16.290
000710	2022-01-26	16.430
000711	2022-01-25	3.880
000711	2022-01-26	4.270
000712	2022-01-25	14.050
000712	2022-01-26	14.130
000713	2022-01-25	8.470
000713	2022-01-26	8.570
000715	2022-01-25	4.610
000715	2022-01-26	4.680
000716	2022-01-25	3.220
000716	2022-01-26	3.260
000717	2022-01-25	4.450
000717	2022-01-26	4.630
000718	2022-01-25	4.090
000718	2022-01-26	4.140
000719	2022-01-25	7.750
000719	2022-01-26	7.800
000720	2022-01-25	4.570
000720	2022-01-26	4.470
000721	2022-01-25	4.480
000721	2022-01-26	4.150
000722	2022-01-25	7.270
000722	2022-01-26	7.350
000723	2022-01-25	13.380
000723	2022-01-26	13.990
000725	2022-01-25	4.870
000725	2022-01-26	4.900
000726	2022-01-25	6.370
000726	2022-01-26	6.370
000727	2022-01-25	2.640
000727	2022-01-26	2.680
000728	2022-01-25	7.360
000728	2022-01-26	7.420
000729	2022-01-25	7.870
000729	2022-01-26	7.830
000731	2022-01-25	8.610
000731	2022-01-26	8.560
000732	2022-01-25	2.220
000732	2022-01-26	2.270
000733	2022-01-25	118.520
000733	2022-01-26	115.230
000735	2022-01-25	6.760
