buy_inst_num,date,rank_reason,sell_inst_num,stock_name,stock_symbol
2.46,2022-03-10,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,1070.21,百洋医药,301015
2139.98,2022-03-10,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,2723.36,嘉寓股份,300117
264.23,2022-03-10,日涨幅偏离值达7%的证券,0.00,云维股份,600725
368.05,2022-03-10,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,702.52,广生堂,300436
4407.78,2022-03-10,日涨幅偏离值达7%的证券,12597.60,长春高新,000661
39.67,2022-03-10,日涨幅偏离值达7%的证券,1371.24,天赐材料,002709
3871.70,2022-03-10,日振幅值达15%的证券,0.00,北方国际,000065
1164.21,2022-03-28,日振幅值达15%的证券,63.69,同为股份,002835
12189.38,2022-03-25,日跌幅偏离值达7%的证券,19794.41,江海股份,002484
4826.56,2022-03-25,日跌幅偏离值达7%的证券,4814.74,美利云,000815
0.00,2022-03-25,"连续三个交易日内,涨幅偏离值累计达20%的证券",988.51,亚邦股份,603188
492.91,2022-03-25,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,809.49,英飞特,300582
0.00,2022-03-25,"连续三个交易日内,涨幅偏离值累计达20%的证券",390.00,龙头股份,600630
0.00,2022-03-25,"连续三个交易日内,涨幅偏离值累计达20%的证券",751.33,上海三毛,600689
0.00,2022-04-11,日换手率达20%的证券,3218.58,富佳股份,603219
0.00,2022-04-11,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,525.31,新宁物流,300013
9294.15,2022-04-08,日跌幅偏离值达7%的证券,0.00,湖北广电,000665
1734.78,2022-04-08,日振幅值达15%的证券,0.00,青海春天,600381
4272.73,2022-04-08,日跌幅偏离值达7%的证券,3214.89,美盛文化,002699
4237.75,2022-04-08,有价格涨跌幅限制的日收盘价格跌幅达到-15%的证券,590.55,纽泰格,301229
9643.39,2022-04-08,"连续三个交易日内,涨幅偏离值累计达20%的证券",9555.61,中交地产,000736
8327.12,2022-04-08,日换手率达20%的证券,6219.66,中科金财,002657
1246.06,2022-02-07,日涨幅偏离值达7%的证券,713.73,上峰水泥,000672
1758.35,2022-02-07,日跌幅偏离值达7%的证券,9672.04,华软科技,002453
